,player_id,year,games,at_bats,runs,hits,double,triple,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strike_outs,weight,height,birth_region_ASIA_MIDDLEEAST,birth_region_AUSTRALIA_OCEANIA,birth_region_CENTAMERICA_CARRIBEAN,birth_region_EUROPE_RUSSIA,birth_region_SOUTHAMERICA,birth_region_UNKNOWN,birth_region_US_CAN,dom_bat_hand_B,dom_bat_hand_L,dom_bat_hand_R,dom_throw_hand_L,dom_throw_hand_R,all_star
3255,minerza01,2006,27,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,225.0,76.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3256,minerza01,2007,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,76.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3257,montzlu01,2008,10,21.0,2.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,9.0,225.0,73.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3258,montzlu01,2013,13,28.0,2.0,5.0,3.0,0.0,1.0,5.0,0.0,0.0,1.0,8.0,225.0,73.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3259,mortecl01,2009,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,76.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3260,mortecl01,2009,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,76.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3261,moscogu01,2009,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,73.0,0,0,0,0,1,0,0,0,0,1,0,1,False
3262,moscogu01,2010,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,73.0,0,0,0,0,1,0,0,0,0,1,0,1,False
3263,myersbr01,2002,12,23.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,240.0,76.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3264,myersbr01,2003,33,62.0,3.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,18.0,240.0,76.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3265,navarya01,2010,20,42.0,4.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,17.0,215.0,71.0,0,0,1,0,0,0,0,0,0,1,0,1,False
3266,navarya01,2011,16,37.0,6.0,8.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,9.0,215.0,71.0,0,0,1,0,0,0,0,0,0,1,0,1,False
3267,nealth01,2012,9,23.0,2.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,220.0,74.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3268,nealth01,2013,4,11.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,220.0,74.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3269,nickemi01,2010,5,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,210.0,72.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3270,nickemi01,2011,21,53.0,4.0,10.0,1.0,0.0,1.0,6.0,0.0,1.0,4.0,11.0,210.0,72.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3271,nixla01,2003,53,184.0,25.0,47.0,10.0,0.0,8.0,30.0,3.0,0.0,9.0,53.0,220.0,73.0,0,0,0,0,0,0,1,0,1,0,1,0,False
3272,nixla01,2004,115,371.0,58.0,92.0,20.0,4.0,14.0,46.0,1.0,1.0,23.0,113.0,220.0,73.0,0,0,0,0,0,0,1,0,1,0,1,0,False
3273,okajihi01,2007,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,73.0,1,0,0,0,0,0,0,0,1,0,1,0,True
3274,okajihi01,2008,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,73.0,1,0,0,0,0,0,0,0,1,0,1,0,True
3276,oliveda02,1994,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,75.0,0,0,0,0,0,0,1,0,0,1,1,0,False
3277,omogrbr01,2012,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,76.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3278,omogrbr01,2013,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,76.0,0,0,0,0,0,0,1,0,0,1,0,1,False
3279,orrpe01,2005,112,150.0,32.0,45.0,8.0,1.0,1.0,8.0,7.0,1.0,6.0,23.0,195.0,73.0,0,0,0,0,0,0,1,0,1,0,0,1,False
3280,orrpe01,2006,102,154.0,22.0,39.0,3.0,4.0,1.0,8.0,2.0,4.0,5.0,30.0,195.0,73.0,0,0,0,0,0,0,1,0,1,0,0,1,False
3281,ortizjo05,2013,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,67.0,0,0,0,0,1,0,0,0,1,0,1,0,False
3283,ortizra01,2000,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,72.0,0,0,1,0,0,0,0,0,0,1,0,1,False
3284,oswalro01,2001,28,47.0,3.0,9.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,12.0,190.0,72.0,0,0,0,0,0,0,1,0,0,1,0,1,True
3285,oswalro01,2002,35,77.0,5.0,10.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,26.0,190.0,72.0,0,0,0,0,0,0,1,0,0,1,0,1,True
